County,Day,Cases
Bay,11,0
Bradford,11,0
Brevard,11,0
Broward,11,5
Calhoun,11,0
Charlotte,11,0
Citrus,11,0
Clay,11,1
Collier,11,0
Columbia,11,0
Dade,11,2
Desoto,11,0
Dixie,11,0
Duval,11,1
Escambia,11,0
Flagler,11,0
Franklin,11,0
Gadsden,11,0
Gilchrist,11,0
Glades,11,0
Gulf,11,0
Hamilton,11,0
Hardee,11,0
Hendry,11,0
Hernando,11,0
Highlands,11,0
Hillsborough,11,1
Holmes,11,0
Indian River,11,0
Jackson,11,0
Jefferson,11,0
Lafayette,11,0
Lake,11,1
Lee,11,1
Leon,11,0
Levy,11,0
Liberty,11,0
Madison,11,0
Manatee,11,0
Marion,11,0
Martin,11,0
Monroe,11,0
Nassau,11,0
Okaloosa,11,0
Okeechobee,11,0
Orange,11,3
Osceola,11,3
Palm Beach,11,2
Pasco,11,0
Pinellas,11,0
Polk,11,0
Putnam,11,0
Santa Rosa,11,0
Sarasota,11,2
Seminole,11,0
St. Johns,11,0
St. Lucie,11,0
Sumter,11,0
Suwannee,11,0
Taylor,11,0
Union,11,0
Unknown,11,0
Volusia,11,1
Wakulla,11,0
Walton,11,0
Washington,11,0
Saint Johns,11,0
Saint Lucie,11,0
Florida,11,24
Alachua,12,1
Baker,12,0
Bay,12,0
Bradford,12,0
Brevard,12,0
Broward,12,13
Calhoun,12,0
Charlotte,12,0
Citrus,12,0
Clay,12,2
Collier,12,1
Columbia,12,0
Dade,12,10
Desoto,12,0
Dixie,12,0
Duval,12,0
Escambia,12,0
Flagler,12,0
Franklin,12,0
Gadsden,12,0
Gilchrist,12,0
Glades,12,0
Gulf,12,0
Hamilton,12,0
Hardee,12,0
Hendry,12,0
Hernando,12,0
Highlands,12,0
Hillsborough,12,3
Holmes,12,0
Indian River,12,0
Jackson,12,0
Jefferson,12,0
Lafayette,12,0
Lake,12,0
Lee,12,1
Leon,12,0
Levy,12,0
Liberty,12,0
Madison,12,0
Manatee,12,2
Marion,12,0
Martin,12,0
Monroe,12,0
Nassau,12,0
Okaloosa,12,0
Okeechobee,12,0
Orange,12,0
Osceola,12,1
Palm Beach,12,3
Pasco,12,1
Pinellas,12,0
Polk,12,0
Putnam,12,0
Santa Rosa,12,0
Sarasota,12,0
Seminole,12,3
St. Johns,12,1
St. Lucie,12,0
Sumter,12,0
Suwannee,12,0
Taylor,12,0
Union,12,0
Unknown,12,0
Volusia,12,3
Wakulla,12,0
Walton,12,0
Washington,12,0
Saint Johns,12,0
Saint Lucie,12,0
Florida,12,45
Alachua,13,0
Baker,13,0
Bay,13,0
Bradford,13,0
Brevard,13,0
Broward,13,16
Calhoun,13,0
Charlotte,13,0
Citrus,13,1
Clay,13,0
Collier,13,2
Columbia,13,0
Dade,13,8
Desoto,13,0
Dixie,13,0
Duval,13,3
Escambia,13,0
Flagler,13,0
Franklin,13,0
Gadsden,13,0
Gilchrist,13,0
Glades,13,0
Gulf,13,0
Hamilton,13,0
Hardee,13,0
Hendry,13,0
Hernando,13,0
Highlands,13,0
Hillsborough,13,0
Holmes,13,0
Indian River,13,0
Jackson,13,0
Jefferson,13,0
Lafayette,13,0
Lake,13,0
Lee,13,1
Leon,13,0
Levy,13,0
Liberty,13,0
Madison,13,0
Manatee,13,0
Marion,13,0
Martin,13,0
Monroe,13,0
Nassau,13,0
Okaloosa,13,0
Okeechobee,13,0
Orange,13,1
Osceola,13,0
Palm Beach,13,0
Pasco,13,0
Pinellas,13,0
Polk,13,0
Putnam,13,0
Santa Rosa,13,0
Sarasota,13,0
Seminole,13,0
St. Johns,13,0
St. Lucie,13,0
Sumter,13,0
Suwannee,13,0
Taylor,13,0
Union,13,0
Unknown,13,0
Volusia,13,1
Wakulla,13,0
Walton,13,0
Washington,13,0
Saint Johns,13,0
Saint Lucie,13,0
Florida,13,33
Alachua,14,1
Baker,14,0
Bay,14,0
Bradford,14,0
Brevard,14,0
Broward,14,6
Calhoun,14,0
Charlotte,14,0
Citrus,14,0
Clay,14,0
